"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"55","Fall Guys: Ultimate Knockout","Aug 3, 2020","N/A","N/A (N/A/80%)","20,000,000 .. 50,000,000","06:36 (14:21)","Mediatonic","Ravenscourt"
"13","Rocket League","Jul 7, 2015","N/A","N/A (N/A/86%)","10,000,000 .. 20,000,000","06:21 (03:03)","Psyonix LLC","Psyonix LLC"
"450","VRChat","Feb 1, 2017","Free","N/A (N/A)","10,000,000 .. 20,000,000","13:47 (10:36)","VRChat Inc.","VRChat Inc."
"4034","Street Warriors Online","Dec 16, 2016","$1.99","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Crazy Rocks Studios","Crazy Rocks Studios"
"15","Assetto Corsa","Dec 19, 2014","$4.99","N/A (N/A/85%)","5,000,000 .. 10,000,000","04:29 (01:33)","Kunos Simulazioni","Kunos Simulazioni"
"19","Football Manager 2020","Nov 19, 2019","N/A","N/A (N/A/84%)","5,000,000 .. 10,000,000","00:44 (00:26)","Sports Interactive","SEGA"
"81","NBA 2K20","Sep 6, 2019","N/A","N/A (N/A/74%)","5,000,000 .. 10,000,000","02:25 (01:32)","Visual Concepts","2K"
"445","RaceRoom Racing Experience","Feb 12, 2013","N/A","N/A (N/A)","5,000,000 .. 10,000,000","01:06 (00:22)","KW Studios","KW Studios, RaceRoom Entertainment AG"
"447","theHunter Classic","Jun 3, 2014","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:04 (00:02)","Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios"
"448","Russian Fishing 4","Nov 10, 2021","Free","N/A (N/A)","5,000,000 .. 10,000,000","39:24 (45:02)","FishSoft LLC","FishSoft LLC"
"4186","EA SPORTS FC 24","Sep 28, 2023","$69.99","N/A (N/A)","5,000,000 .. 10,000,000","02:30 (03:18)","EA Canada, EA Romania","Electronic Arts"
"4188","EA SPORTS FIFA 23","Sep 30, 2022","N/A","N/A (N/A)","5,000,000 .. 10,000,000","06:26 (05:05)","EA Canada & EA Romania","Electronic Arts"
"4190","theHunter: Call of the Wild","Feb 16, 2017","$19.99","N/A (N/A)","5,000,000 .. 10,000,000","08:34 (06:24)","Expansive Worlds","Avalanche Studios"
"4191","Forza Horizon 5","Nov 8, 2021","$29.99","N/A (N/A)","5,000,000 .. 10,000,000","04:21 (01:06)","Playground Games","Xbox Game Studios"
"12","DiRT Rally","Dec 7, 2015","N/A","N/A (N/A/86%)","2,000,000 .. 5,000,000","00:00 (00:00)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac), Electronic Arts"
"14","Football Manager 2022","Nov 9, 2021","N/A","N/A (N/A/85%)","2,000,000 .. 5,000,000","02:31 (00:50)","Sports Interactive","SEGA"
"20","SpeedRunners","Apr 19, 2016","$14.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","01:11 (01:41)","DoubleDutch Games","tinyBuild"
"34","TEKKEN 7","Jun 1, 2017","$9.99","N/A (N/A/82%)","2,000,000 .. 5,000,000","01:49 (01:09)","BANDAI NAMCO Studios Inc.","BANDAI NAMCO Entertainment"
"53","Football Manager 2017","Nov 3, 2016","N/A","N/A (N/A/80%)","2,000,000 .. 5,000,000","00:00 (00:00)","Sports Interactive","SEGA"
"74","NBA 2K19","Sep 10, 2018","N/A","N/A (N/A/76%)","2,000,000 .. 5,000,000","00:00 (00:00)","Visual Concepts","2K"
"93","Need for Speed Heat","Jun 4, 2020","$6.99","N/A (N/A/72%)","2,000,000 .. 5,000,000","02:25 (01:50)","Ghost Games","Electronic Arts"
"130","F1 2015","Jul 9, 2015","N/A","N/A (N/A/61%)","2,000,000 .. 5,000,000","00:00 (00:00)","Codemasters, Feral Interactive (Linux)","Codemasters, Feral Interactive (Linux)"
"401","Party Jousting","Mar 1, 2016","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","vikingfabian","vikingfabian"
"440","S.K.I.L.L. - Special Force 2 (Shooter)","Sep 12, 2013","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Dragonfly GF Co., LTD","Space Budgie"
"442","Freestyle 2: Street Basketball","Apr 1, 2015","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","JOYCITY","JOYCITY"
"449","Fishing Planet","Aug 11, 2015","Free","N/A (N/A)","2,000,000 .. 5,000,000","02:24 (04:07)","Fishing Planet LLC","Fishing Planet LLC"
"4171","NBA 2K21","Sep 4, 2020","N/A","N/A (N/A)","2,000,000 .. 5,000,000","73:37 (24:32)","Visual Concepts","2K"
"4172","Football Manager 2023","Nov 8, 2022","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Sports Interactive","SEGA"
"4175","Football Manager 2021","Nov 24, 2020","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:49 (00:32)","Sports Interactive","SEGA"
"4185","Golf With Your Friends","May 19, 2020","$14.99","N/A (N/A)","2,000,000 .. 5,000,000","02:01 (02:21)","Blacklight Interactive, Team17","Team17"
"4189","FIFA 22","Oct 1, 2021","N/A","N/A (N/A)","2,000,000 .. 5,000,000","18:56 (08:32)","EA Canada & EA Romania","Electronic Arts"
"6","NBA 2K18","Coming soon","N/A","N/A (N/A/87%)","1,000,000 .. 2,000,000","00:00 (00:00)","Visual Concepts","2K"
"10","Football Manager 2019","Nov 2, 2018","N/A","N/A (N/A/86%)","1,000,000 .. 2,000,000","00:00 (00:00)","Sports Interactive","SEGA"
"11","F1 2021","Jul 15, 2021","N/A","N/A (N/A/86%)","1,000,000 .. 2,000,000","00:00 (00:00)","Codemasters","Electronic Arts"
"21","DiRT Rally 2.0","Feb 25, 2019","$19.99","N/A (N/A/84%)","1,000,000 .. 2,000,000","01:45 (04:00)","Codemasters","Codemasters, Electronic Arts"
"25","Project CARS","May 6, 2015","N/A","N/A (N/A/83%)","1,000,000 .. 2,000,000","00:00 (00:00)","Slightly Mad Studios","Codemasters, Slightly Mad Studios, Electronic Arts"
"41","F1 23","Jun 15, 2023","N/A","N/A (N/A/81%)","1,000,000 .. 2,000,000","09:40 (06:47)","Codemasters","Electronic Arts"
"43","Wreckfest","Jun 14, 2018","$29.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","16:17 (16:14)","Bugbear","THQ Nordic"
"54","Knockout City","May 21, 2021","N/A","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","Velan Studios","Velan Studios"
"70","Assetto Corsa Competizione","May 29, 2019","$11.99","N/A (N/A/77%)","1,000,000 .. 2,000,000","05:33 (04:23)","Kunos Simulazioni","505 Games"
"73","Blood Bowl 2","Sep 22, 2015","$19.99","N/A (N/A/76%)","1,000,000 .. 2,000,000","00:00 (00:00)","Cyanide Studios","Nacon"
"76","Poker Night 2","Apr 26, 2013","N/A","N/A (N/A/75%)","1,000,000 .. 2,000,000","00:00 (00:00)","Telltale Games","Telltale Games"
"92","Steep","Dec 2, 2016","$29.99","N/A (N/A/72%)","1,000,000 .. 2,000,000","02:29 (00:49)","Ubisoft Annecy, Ubisoft Montpellier, Ubisoft Kiev","Ubisoft"
"95","Poker Night at the Inventory","Nov 22, 2010","N/A","N/A (N/A/71%)","1,000,000 .. 2,000,000","00:00 (00:00)","Telltale Games","Strategy First"
"127","Need for Speed Payback","Nov 6, 2017","$7.79","N/A (N/A/62%)","1,000,000 .. 2,000,000","00:00 (00:00)","Ghost Games","Electronic Arts"
"139","Skater XL - The Ultimate Skateboarding Game","Jul 28, 2020","$39.99","N/A (N/A/56%)","1,000,000 .. 2,000,000","00:00 (00:00)","Easy Day Studios Pty Ltd","Easy Day Studios Pty Ltd"
"435","Heavy Metal Machines","Sep 19, 2018","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Hoplon","Forthright Entertainment"
"444","Real Pool 3D - Poolians","Dec 15, 2019","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:07 (00:04)","Poolians.com","Poolians.com"
"446","eFootball  PES 2020","Sep 10, 2019","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Konami Digital Entertainment","Konami Digital Entertainment"
"4102","Drift Streets Japan","Dec 21, 2015","$0.49","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","JDM4iK Games","SA Industry, BATYSTORE LTD"
"4157","SNOW - The Ultimate Edition","Feb 14, 2019","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Poppermost Productions, WastedStudios, Crytek","Crytek"
"4159","Soccer Online: Ball 3D","Mar 31, 2017","$0.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Unusualsoft","Unusualsoft"
"4166","NBA 2K24","Sep 7, 2023","$59.99","N/A (N/A)","1,000,000 .. 2,000,000","08:00 (10:14)","Visual Concepts","2K"
"4177","MX Bikes","Oct 7, 2019","$34.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","PiBoSo","PiBoSo"
"4178","DJMAX RESPECT V","Mar 11, 2020","$49.99","N/A (N/A)","1,000,000 .. 2,000,000","15:06 (20:02)","NEOWIZ","NEOWIZ"
"4179","Golf It!","Aug 18, 2023","$4.49","N/A (N/A)","1,000,000 .. 2,000,000","00:52 (00:26)","Perfuse Entertainment","Perfuse Entertainment"
"4180","eFootball PES 2021 SEASON UPDATE","Sep 15, 2020","N/A","N/A (N/A)","1,000,000 .. 2,000,000","03:58 (01:19)","Konami Digital Entertainment","Konami Digital Entertainment"
"4181","NBA 2K23","Sep 8, 2022","N/A","N/A (N/A)","1,000,000 .. 2,000,000","04:30 (03:03)","Visual Concepts","2K"
"4182","EA SPORTS FC 25","Sep 26, 2024","$20.99","N/A (N/A)","1,000,000 .. 2,000,000","13:40 (10:25)","EA Canada, EA Romania","Electronic Arts"
"4183","F1 2020","Jul 9, 2020","N/A","N/A (N/A)","1,000,000 .. 2,000,000","02:04 (01:48)","Codemasters","Codemasters, Electronic Arts"
"4184","EA SPORTS FIFA 21","Oct 8, 2020","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","EA Canada","Electronic Arts"
"4187","CarX Drift Racing Online","Nov 17, 2017","$14.99","N/A (N/A)","1,000,000 .. 2,000,000","03:21 (01:07)","CarX Technologies, LLC","CarX Technologies, LLC"
"2","NBA 2K17","Sep 20, 2016","N/A","N/A (N/A/90%)","500,000 .. 1,000,000","00:00 (00:00)","Visual Concepts","2K"
"7","F1 2019","Jun 27, 2019","N/A","N/A (N/A/87%)","500,000 .. 1,000,000","00:00 (00:00)","Codemasters","Codemasters, Electronic Arts"
"26","F1 2018","Aug 23, 2018","N/A","N/A (N/A/83%)","500,000 .. 1,000,000","00:00 (00:00)","Codemasters","Codemasters, Electronic Arts"
"33","Lethal League","Aug 27, 2014","$13.99","N/A (N/A/82%)","500,000 .. 1,000,000","00:00 (00:00)","Team Reptile","Team Reptile"
"38","F.I.S.T.: Forged In Shadow Torch","Oct 2, 2021","$8.99","N/A (N/A/81%)","500,000 .. 1,000,000","00:00 (00:00)","TiGames","bilibili"
"39","Nidhogg","Jan 13, 2014","$9.99","N/A (N/A/81%)","500,000 .. 1,000,000","00:00 (00:00)","Messhof","Messhof"
"40","Motorsport Manager","Nov 9, 2016","$3.99","N/A (N/A/81%)","500,000 .. 1,000,000","02:31 (00:50)","Playsport Games","SEGA"
"42","F1 22","Jul 1, 2022","N/A","N/A (N/A/81%)","500,000 .. 1,000,000","01:20 (00:26)","Codemasters","Electronic Arts"
"52","EA SPORTS WRC","Nov 2, 2023","$14.99","N/A (N/A/80%)","500,000 .. 1,000,000","00:00 (00:00)","Codemasters","Electronic Arts"
"64","GRID Autosport","Jun 26, 2014","N/A","N/A (N/A/78%)","500,000 .. 1,000,000","00:00 (00:00)","Codemasters Racing, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)"
"65","DiRT 4","Jun 9, 2017","N/A","N/A (N/A/78%)","500,000 .. 1,000,000","00:00 (00:00)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux), Electronic Arts"
"66","Descenders","May 7, 2019","$24.99","N/A (N/A/78%)","500,000 .. 1,000,000","01:11 (00:23)","RageSquid","No More Robots"
"69","TrackMania² Stadium","Feb 27, 2013","$4.99","N/A (N/A/77%)","500,000 .. 1,000,000","00:00 (00:00)","Nadeo","Ubisoft"
"78","WWE 2K16","Mar 10, 2016","N/A","N/A (N/A/74%)","500,000 .. 1,000,000","00:00 (00:00)","Visual Concepts, Yuke's Co., LTD","2K"
"99","Ultimate Fishing Simulator","Aug 30, 2018","$19.99","N/A (N/A/70%)","500,000 .. 1,000,000","00:00 (00:00)","Pancake Games, 3T Labs, Bit Golem","Ultimate Games S.A."
"129","F1 2014","Oct 16, 2014","N/A","N/A (N/A/61%)","500,000 .. 1,000,000","00:03 (00:01)","Codemasters","Codemasters, Electronic Arts"
"145","WWE 2K20","Oct 21, 2019","N/A","N/A (N/A/43%)","500,000 .. 1,000,000","00:00 (00:00)","Visual Concepts","2K"
"407","PRO EVOLUTION SOCCER 2018 LITE","Nov 15, 2017","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Konami Digital Entertainment Co., Ltd","Konami Digital Entertainment"
"416","Soccer Manager 2020","Jan 29, 2020","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Soccer Manager Ltd","Soccer Manager Ltd"
"419","Streamline","Sep 30, 2016","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Proletariat Inc.","Proletariat Inc."
"422","Soccer Manager 2021","Dec 16, 2020","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Invincibles Studio Ltd","Invincibles Studio Ltd"
"423","PRO EVOLUTION SOCCER 2019 LITE","Dec 13, 2018","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Konami Digital Entertainment","Konami Digital Entertainment"
"425","Pool Nation FX Lite","Dec 7, 2015","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Cherry Pop Games","Cherry Pop Games"
"427","Wrecked","Apr 1, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Marco Amadei","Corvostudio di Amadei Marco"
"428","WGT Golf","Apr 13, 2020","Free","N/A (N/A)","500,000 .. 1,000,000","00:38 (00:12)","World Golf Tour, LLC","World Golf Tour, LLC"
"429","Copa Petrobras de Marcas","Nov 29, 2014","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Reiza Studios","Reiza Studios"
"434","Supraball","Feb 8, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Supra Games","Supra Games"
"436","Professional Fishing","Nov 30, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","MasterCode","Ultimate Games S.A."
"437","High Octane Drift","Oct 11, 2016","Free","N/A (N/A)","500,000 .. 1,000,000","00:05 (00:01)","Cruderocks","Cruderocks"
"438","MadOut2 BigCityOnline [CLOSED]","Feb 21, 2017","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","MadOut Games","MadOut Games"
"439","NBA 2K16","Sep 29, 2015","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Visual Concepts","2K"
"441","Pool 2D - Poolians","Dec 15, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Poolians.com","Poolians.com"
"443","Paunch","Dec 4, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:04 (00:01)","Kozhakov","Kozhakov"
"2141","Aster Fpv Drone Simulator","Oct 22, 2020","$19.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Emmanuel Perrillon","Emmanuel Perrillon"
"3676","VR Regatta - The Sailing Game","Jan 30, 2018","$49.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","MarineVerse","MarineVerse"
"3783","JDM Tuner Racing","Jun 3, 2016","$0.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","JDM4iK","Conglomerate 5"
"4037","Achievements printer","Mar 2, 2018","$0.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Easy game","Game for people"
"4066","Olympic Games Tokyo 2020 – The Official Video Game","Jun 21, 2021","$7.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","SEGA","SEGA"
"4142","Teamfight Manager","Mar 1, 2021","$9.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Team Samoyed","Team Samoyed"
"4150","rFactor 2","Mar 28, 2013","$29.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Studio 397","Studio 397"
"4151","Russian Life Simulator","May 17, 2019","$0.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","GosDev Production","Abama Entertainment, GosDev Production"
"4154","Mount Your Friends","Jul 29, 2014","$4.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Stegersaurus Software Inc.","Stegersaurus Software Inc."
"4160","RIDE 4","Oct 8, 2020","$39.99","N/A (N/A)","500,000 .. 1,000,000","12:28 (04:09)","Milestone S.r.l.","Milestone S.r.l."
"4162","Liftoff: FPV Drone Racing","Sep 13, 2018","$19.99","N/A (N/A)","500,000 .. 1,000,000","00:39 (00:13)","LuGus Studios","LuGus Studios"
"4163","Superflight","Nov 8, 2017","$2.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","GrizzlyGames","GrizzlyGames"
"4164","Session: Skate Sim","Sep 22, 2022","$39.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","crea-ture Studios Inc.","Nacon"
"4165","Undisputed","Oct 8, 2024","$49.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Steel City Interactive","Deep Silver"
"4167","Drunken Wrestlers 2","Apr 1, 2019","$3.99","N/A (N/A)","500,000 .. 1,000,000","00:43 (00:14)","Oleg Skutte","Gamegrustudio"
"4168","Sonic & All-Stars Racing Transformed Collection","Jan 31, 2013","$19.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Sumo Digital","SEGA"
"4169","Riders Republic","Jun 8, 2023","$9.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Ubisoft Annecy, Ubisoft Belgrade, Ubisoft Kyiv, Ubisoft Pune, Ubisoft Odesa","Ubisoft Entertainment"
"4173","Football Manager 2024","Nov 6, 2023","$59.99","N/A (N/A)","500,000 .. 1,000,000","12:03 (14:19)","Sports Interactive","SEGA"
"4174","Pro Soccer Online","Nov 15, 2021","$9.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Skywall Studios LLC","Skywall Studios LLC"
"4176","NBA 2K22","Sep 9, 2021","N/A","N/A (N/A)","500,000 .. 1,000,000","04:55 (01:38)","Visual Concepts","2K"
"3","F1 2017","Aug 24, 2017","N/A","N/A (N/A/89%)","200,000 .. 500,000","00:00 (00:00)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux), Electronic Arts"
"9","F1 2016","Sep 7, 2016","N/A","N/A (N/A/86%)","200,000 .. 500,000","00:00 (00:00)","Codemasters, Feral Interactive (Mac)","Codemasters, Feral Interactive (Mac), Electronic Arts"
"24","Pistol Whip","Nov 7, 2019","$29.99","N/A (N/A/83%)","200,000 .. 500,000","00:00 (00:00)","Cloudhead Games Ltd.","Cloudhead Games Ltd."
"30","Monday Night Combat","Jan 24, 2011","$4.99","N/A (N/A/82%)","200,000 .. 500,000","00:00 (00:00)","Uber Entertainment","Uber Entertainment"
"32","Circuit Superstars","Oct 31, 2023","$19.99","N/A (N/A/82%)","200,000 .. 500,000","00:00 (00:00)","Original Fire Games","Original Fire Games"
"36","TrackMania² Canyon","Feb 27, 2013","$9.99","N/A (N/A/81%)","200,000 .. 500,000","00:00 (00:00)","Nadeo","Ubisoft"
"37","PRO EVOLUTION SOCCER 2018","Sep 13, 2017","N/A","N/A (N/A/81%)","200,000 .. 500,000","00:00 (00:00)","Konami Digital Entertainment Co., Ltd.","Konami Digital Entertainment"
"50","PRO EVOLUTION SOCCER 2019","Aug 29, 2018","N/A","N/A (N/A/80%)","200,000 .. 500,000","00:00 (00:00)","Konami Digital Entertainment","Konami Digital Entertainment"
"51","F1 2012","Sep 17, 2012","N/A","N/A (N/A/80%)","200,000 .. 500,000","00:00 (00:00)","Codemasters","Codemasters, Electronic Arts"
"59","Golf Club Nostalgia","Sep 3, 2021","$9.99","N/A (N/A/79%)","200,000 .. 500,000","00:00 (00:00)","Demagog Studio","Untold Tales"
"60","iRacing","Jan 12, 2015","$9.99","N/A (N/A/79%)","200,000 .. 500,000","39:15 (13:05)","iRacing.com Motorsport Simulations, iRacing","iRacing.com Motorsport Simulations, iRacing"
"63","Laser League","May 10, 2018","N/A","N/A (N/A/78%)","200,000 .. 500,000","00:00 (00:00)","Roll7, CE-Asia, 505 Games","CE-Asia, 505 Games"
"68","WRC 8 FIA World Rally Championship","Sep 8, 2020","$29.99","N/A (N/A/77%)","200,000 .. 500,000","00:00 (00:00)","KT Racing","Nacon"
"72","Horizon Chase Turbo","May 15, 2018","$19.99","N/A (N/A/76%)","200,000 .. 500,000","00:00 (00:00)","AQUIRIS","AQUIRIS"
"75","Captain Tsubasa: Rise of New Champions","Sep 28, 2020","$9.99","N/A (N/A/75%)","200,000 .. 500,000","00:00 (00:00)","TAMSOFT CORPORATION","BANDAI NAMCO Entertainment"
"79","PGA TOUR 2K21","Aug 20, 2020","N/A","N/A (N/A/74%)","200,000 .. 500,000","02:42 (00:54)","HB Studios Multimedia Ltd.","2K"
"85","Gas Guzzlers Extreme","Oct 8, 2013","$24.99","N/A (N/A/73%)","200,000 .. 500,000","00:00 (00:00)","Gamepires","Jagex Ltd"
"90","DIRT 5","Nov 5, 2020","$59.99","N/A (N/A/72%)","200,000 .. 500,000","00:00 (00:00)","Codemasters","Codemasters, Electronic Arts"
"91","F1 24","May 31, 2024","$69.99","N/A (N/A/72%)","200,000 .. 500,000","03:02 (04:23)","Codemasters","Electronic Arts"
"97","Quantum League","Apr 15, 2021","N/A","N/A (N/A/70%)","200,000 .. 500,000","00:00 (00:00)","Nimble Giant Entertainment","Nimble Giant Entertainment"
"98","RIDE 3","Nov 30, 2018","$29.99","N/A (N/A/70%)","200,000 .. 500,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"103","Pro Cycling Manager 2018","Jun 28, 2018","$14.99","N/A (N/A/69%)","200,000 .. 500,000","00:00 (00:00)","Cyanide Studio","Focus Entertainment"
"110","NBA Playgrounds","May 8, 2017","N/A","N/A (N/A/67%)","200,000 .. 500,000","00:00 (00:00)","Saber Interactive","Mad Dog Games, LLC"
"111","Ride 2","Oct 7, 2016","$24.99","N/A (N/A/67%)","200,000 .. 500,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"121","WWE 2K18","Oct 17, 2017","N/A","N/A (N/A/64%)","200,000 .. 500,000","00:00 (00:00)","Visual Concepts, Yuke's Co., LTD","2K"
"124","Vertiginous Golf","Mar 7, 2014","$1.49","N/A (N/A/63%)","200,000 .. 500,000","00:00 (00:00)","Kinelco & Lone Elk Creative","Fellow Traveller"
"128","WWE 2K17","Feb 7, 2017","N/A","N/A (N/A/61%)","200,000 .. 500,000","00:00 (00:00)","Visual Concepts, Yuke's Co., LTD","2K"
"138","Deadly Dozen","Oct 31, 2001","$9.99","N/A (N/A/56%)","200,000 .. 500,000","00:00 (00:00)","N-Fusion Interactive","Ziggurat"
"304","Viking Trickshot","May 3, 2019","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Doodad Games, Ethan Close","Doodad Games"
"380","Adventure Climb VR","Apr 16, 2019","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","MXTreality","MXTreality"
"381","Soccer Manager 2018","Dec 22, 2017","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Soccer Manager Ltd","Soccer Manager Ltd"
"387","Soccer Manager 2017","Sep 16, 2016","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Soccer Manager Ltd","Soccer Manager Ltd"
"390","Soccer Manager 2016","Oct 7, 2015","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Soccer Manager Ltd","Soccer Manager Ltd"
"394","Paintball War","Jun 1, 2018","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","ShadowWolf Games","ShadowWolf Games"
"398","Soccer Manager 2019","Dec 19, 2018","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Soccer Manager Ltd","Soccer Manager Ltd"
"399","Quantum League - Free Open Beta","Feb 21, 2020","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Nimble Giant Entertainment","Nimble Giant Entertainment"
"402","Victory: The Age of Racing","Feb 12, 2016","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Vae Victis Games","Vae Victis Games"
"403","World of Soccer","Aug 26, 2015","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","WoS Development Team","Huebotics"
"404","Just Fishing","Dec 15, 2017","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Just Fishing LLC","Just Fishing LLC"
"405","ACE - Arena: Cyber Evolution","Aug 18, 2014","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Spearhead Games","Spearhead Games"
"408","Kreedz Climbing","Jun 15, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","ObsessionSoft","ObsessionSoft"
"409","Trophy Fishing 2","Jul 13, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:01 (00:00)","Overgroup","Overgroup"
"410","Football Manager 2020 Touch","Nov 19, 2019","N/A","N/A (N/A)","200,000 .. 500,000","00:12 (00:04)","Sports Interactive","SEGA"
"412","Project CARS - Pagani Edition","Oct 28, 2016","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Slightly Mad Studios","Slightly Mad Studios, BANDAI NAMCO Entertainment"
"413","Blackjack Championship","Aug 25, 2020","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","BBstudio Inc.","BBstudio Inc."
"414","Colin McRae Rally","Jul 30, 2014","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Codemasters Digital","Codemasters"
"415","Super Buckyball Tournament Preseason","Nov 19, 2020","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Pathea Games","Pathea Games"
"417","Rushdown Revolt - Alpha Testing","Jan 27, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Vortex Games","Vortex Games"
"418","Zaccaria Pinball","Jun 16, 2016","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Magic Pixel Kft.","Magic Pixel Kft."
"420","Paint Warfare","Mar 6, 2022","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","bananadev.","bananadev."
"421","Ashland:Explore","Dec 6, 2023","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","无人之境","无人之境"
"424","Gridiron","Jul 23, 2020","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","1336 Studios","1336 Studios"
"426","Orqa FPV.SkyDive","May 31, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:15 (00:05)","ORQA","ORQA"
"430","Poker Championship","Sep 25, 2019","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","BBstudio Inc.","BBstudio Inc."
